Designator,Mid X,Mid Y,Rotation,Layer
C1,153.875,-96.925673,0.0,top
C10,155.775,-70.825673,180.0,top
C11,153.475,-84.925673,270.0,top
C12,153.9,-92.125673,180.0,top
C13,167.625,-100.950673,270.0,top
C14,153.9,-90.525673,180.0,top
C15,174.645,-100.925673,270.0,top
C16,153.875,-95.325673,180.0,top
C17,172.875,-100.925673,270.0,top
C18,169.55,-84.750673,180.0,top
C19,150.2436,-84.925673,90.0,top
C2,152.975,-78.525673,180.0,top
C20,153.9,-93.725673,180.0,top
C21,171.125,-100.925673,270.0,top
C22,148.675,-86.550673,90.0,top
C23,153.9,-88.925673,0.0,top
C24,169.375,-100.925673,270.0,top
C25,172.9,-91.225673,180.0,top
C26,146.675,-70.525673,180.0,bottom
C27,158.875,-86.125673,180.0,top
C28,158.825,-87.725673,180.0,top
C29,146.4,-74.725673,0.0,bottom
C3,152.925,-73.325673,180.0,top
C30,146.4,-77.325673,0.0,bottom
C31,170.3,-109.325673,0.0,top
C32,152.9,-113.325673,180.0,top
C33,152.9,-111.725673,180.0,top
C34,165.675,-73.650673,270.0,bottom
C35,172.875,-108.525673,270.0,top
C36,152.875,-116.525673,180.0,top
C37,158.875,-103.125673,90.0,top
C38,165.875,-100.900673,270.0,top
C39,146.4,-79.725673,0.0,bottom
C4,169.725,-74.150673,0.0,top
C40,157.275,-103.150673,270.0,top
C41,152.875,-114.925673,0.0,top
C42,161.475,-79.725673,180.0,bottom
C43,166.675,-119.900673,90.0,top
C44,167.275,-73.625673,270.0,bottom
C45,153.675,-79.325673,0.0,bottom
C46,173.775,-73.125673,90.0,bottom
C47,146.4,-82.375673,0.0,bottom
C48,170.575,-73.125673,90.0,bottom
C49,146.4,-85.725673,0.0,bottom
C5,156.875,-107.550673,270.0,bottom
C6,169.55,-79.350673,0.0,top
C7,169.5,-81.350673,0.0,top
C8,169.875,-70.125673,0.0,top
C9,175.875,-79.925673,180.0,top
D1,174.075,-108.325673,90.0,bottom
D2,155.675,-70.325673,180.0,bottom
D3,175.075,-93.725673,270.0,bottom
FB1,155.0599,-85.049973,270.0,top
FB2,153.875,-98.525673,180.0,top
FB3,169.525,-86.350673,180.0,top
FB4,151.8436,-84.951373,90.0,top
FB5,169.875,-108.125673,180.0,top
H1,143.625,-122.875,0.0,top
H2,178.625,-63.875,0.0,top
H3,178.625,-122.875,0.0,top
H4,143.625,-63.875,0.0,top
IC1,161.275,-94.125673,0.0,top
J1,154.425,-62.875,180.0,top
J2,179.625,-71.775673,90.0,top
J3,168.075,-62.875,180.0,top
J4,156.805,-119.8573,90.0,top
J5,168.275,-104.325673,90.0,top
L1,171.925,-82.125673,180.0,bottom
L2,152.875,-82.850673,270.0,bottom
Q1,168.8125,-117.875673,0.0,bottom
R1,156.875,-110.725673,270.0,bottom
R10,160.3625,-102.325673,0.0,bottom
R11,158.875,-70.825673,180.0,top
R12,163.475,-70.925673,0.0,top
R13,165.75,-117.850673,90.0,bottom
R14,164.15,-117.850673,270.0,bottom
R15,175.175,-90.700673,270.0,top
R16,160.05,-84.325673,0.0,top
R17,175.225,-87.700673,270.0,top
R18,175.225,-84.700673,270.0,top
R19,172.05,-97.125673,180.0,top
R2,152.9,-76.925673,0.0,top
R20,151.075,-87.325673,180.0,top
R21,169.85,-91.225673,0.0,top
R22,168.85,-97.125673,0.0,top
R23,158.075,-76.300673,270.0,bottom
R24,157.25,-78.725673,0.0,bottom
R25,162.75,-72.225673,180.0,bottom
R26,165.075,-119.875673,270.0,top
R27,163.475,-119.925673,90.0,top
R28,166.475,-71.025673,0.0,bottom
R29,162.75,-70.625673,0.0,bottom
R3,159.875,-112.925673,270.0,bottom
R30,154.875,-100.925673,0.0,top
R31,169.65,-88.150673,180.0,top
R32,154.875,-104.425673,0.0,top
R33,154.875,-102.675673,0.0,top
R4,152.9,-74.925673,0.0,top
R5,169.7,-75.750673,180.0,top
R6,169.725,-77.350673,180.0,top
R7,169.525,-83.100673,180.0,top
R8,156.875,-104.325673,270.0,bottom
R9,163.075,-101.900673,270.0,bottom
S1,173.925,-115.725,90.0,top
U1,160.57,-107.650673,0.0,bottom
U2,161.23,-77.170373,90.0,top
U3,171.294001,-94.125673,180.0,top
U4,161.525,-76.325673,180.0,bottom
U5,161.425,-111.4823,90.0,top
U6,151.9375,-76.475673,0.0,bottom
Y1,144.875,-74.325673,90.0,top
Y2,145.275,-110.475673,270.0,top
