Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C15, C16, C17, C20, C21, C24, C25, C27, C28, C31, C34, C35, C38, C40, C41, C42, C43, C45, C5",603,22,100n,C1590
C10,603,1,1n,C1588
"C12, C18, C19, C36",603,4,1u,C15849
C14,603,1,470p,C1620
"C2, C3, C4, C6",603,4,10p,C1634
"C22, C23",603,2,18p,C1647
C26,CP_Elec_5x5.4,1,47u,C7469972
"C29, C39, C50",1206,3,10u,C13585
C30,1206,1,100n,C24497
"C32, C33",603,2,27p,C107045
C37,603,1,4.7u,C19666
C44,603,1,270p,C1608
"C46, C48",C_Elec_4x5.8,2,27u,C413624
"C47, C49",1206,2,22u,C12891
C51,603,1,56p,C107053
C7,603,1,0.022u,C21122
C8,CP_Elec_5x5.4,1,10u,C7469956
C9,CP_Elec_4x5.4,1,1u,C3348
"D1, D2",D_SOD-323F,2,PMEG3020EJ,C7472895
"D3, D8",SOT-143,2,PRTR5V0U2X,C2827688
"D4, D5, D6, D7",201,4,LED_Small,
F1,2920L150_60MR,1,2920L150_60MR,
"FB1, FB2, FB3, FB4",IND_BLM18_0603_MUR,4,BLM18EG221SN1D,
FB5,MMZ0603A471ET000,1,MMZ0603A471ET000,
IC1,LAN9252,1,LAN9252,
IC2,MP5000ADQ-LF-Z,1,MP5000ADQ-LF-Z,
J1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J3,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,connection_moteur,
J4,PinHeader_1x05_P1.27mm_Vertical,1,Conn_01x05_Pin,
J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
L1,L_Bourns_SRR1260,1,18u,
L2,L_Bourns-SRN4018,1,6.8u,
R1,603,1,47k,
R10,805,1,120,
"R11, R12",603,2,75,
R13,603,1,220,
"R14, R46, R47",603,3,100,
"R15, R17, R18, R24, R26, R27, R29, R3, R31, R37, R43, R44, R45",603,13,10k,
R16,603,1,12.1k,
R19,603,1,4.7k,
"R2, R4, R5, R6",603,4,49.9,
"R20, R7",603,2,0,
"R21, R22, R34, R36, R38, R39, R40, R41, R42",603,9,1k,
R23,603,1,68k,
"R25, R8, R9",603,3,20k,
R28,603,1,150k,
"R30, R32, R33",603,3,33,
R35,603,1,3.3k,
"S1, S2",B3U1100PM,2,B3U-1100PM,
T1,7490100110A,1,7490100110A,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,9,TestPoint,
U1,SN74LVC3G17DCTRE4,1,SN74LVC3G17DCTRE4,
U3,24FC512_I_ST,1,24FC512-I/ST,
U4,LMR14030SQDPRTQ1,1,LMR14030SQDPRTQ1,
U5,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U6,TSOT-23-6,1,AP63203WU,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,
Y2,ABM3-20.000MHZ-D2Y-T,1,ABM3-20.000MHZ-D2Y-T,
Y3,ABM3-25.000MHZ-D2Y-T,1,ABM3-25.000MHZ-D2Y-T
